순번,법령MST,소관부처코드,소관부처명,법령ID,법령명,공포일자,공포번호,시행일자,법령구분코드,법령구분명,법령분야코드,법령분야명
369,266641,1290000,국방부,001629,군인사법,20241203,제20538호,20250604,A0002,법률,13020101,第1款 通 則
370,269915,1290000,국방부,001627,군인연금법,20250318,제20804호,20250318,A0002,법률,13020105,第5款 年金·保險·共濟會
371,266679,1290000,국방부,012438,군인의 지위 및 복무에 관한 기본법,20241203,제20539호,20250604,A0002,법률,13020101,第1款 通 則
372,258713,1290000,국방부,013622,군인 재해보상법,20240116,제20021호,20250117,A0002,법률,13030000,第3章 賞勳·禮式·補償
373,258715,1290000,국방부,010707,군 책임운영기관의 지정ㆍ운영에 관한 법률,20240116,제20022호,20240717,A0002,법률,13010000,第1章 行政組織·通則
374,235555,1290000,국방부,001624,군형법,20210924,제18465호,20220701,A0002,법률,13080000,第8章 軍法·軍事法院
375,254103,1613000,국토교통부,000096,궤도운송법,20230816,제19675호,20240817,A0002,법률,41040000,第4章 軌道
376,249287,1192000 1543000,"농림축산식품부,해양수산부",012238,귀농어ㆍ귀촌 활성화 및 지원에 관한 법률,20230328,제19283호,20230929,A0002,법률,24050100,第1節 通 則
377,252647,1051000,기획재정부,001596,귀속재산처리법,20230718,제19540호,20230718,A0002,법률,19030000,第3章 國有財産
378,259981,1421000,중소벤처기업부,009641,규제자유특구 및 지역특화발전특구에 관한 규제특례법,20240206,제20236호,20240807,A0002,법률,10060000,第6章 地域開發
379,257745,1543000,농림축산식품부,014567,그린바이오산업 육성에 관한 법률,20240102,제19874호,20250103,A0002,법률,24050100,第1節 通 則
380,231495,1192000,해양수산부,014063,극지활동 진흥법,20210413,제18055호,20211014,A0002,법률,39010000,第1章 行政組織·通則
381,265959,1492000,고용노동부,001872,근로기준법,20241022,제20520호,20250223,A0002,법률,40030000,第3章 勤勞基準
382,243061,1492000,고용노동부,009252,근로복지기본법,20220610,제18926호,20230611,A0002,법률,40070000,第7章 勞動保險·福祉
383,180480,1492000,고용노동부,000132,근로자의 날 제정에 관한 법률,20160127,제13901호,20160127,A0002,법률,40010000,第1章 行政組織·通則
384,243063,1492000,고용노동부,000141,근로자참여 및 협력증진에 관한 법률,20220610,제18927호,20221211,A0002,법률,40020000,第2章 勞 政
385,239311,1492000,고용노동부,009883,근로자퇴직급여 보장법,20220111,제18752호,20220712,A0002,법률,40030000,第3章 勤勞基準
386,260465,1833100,국가유산청,014506,근현대문화유산의 보존 및 활용에 관한 법률,20240213,제20309호,20240915,A0002,법률,17030000,第3章 文化財
387,265981,1480000,환경부,009281,금강수계 물관리 및 주민지원 등에 관한 법률,20241022,제20517호,20250423,A0002,법률,39020000,第2章 環境保全
388,211635,1160100,금융위원회,013610,금융거래지표의 관리에 관한 법률,20191126,제16650호,20201127,A0002,법률,23040000,第4章 金融機關·金融業
389,225139,1160100,금융위원회,013932,금융복합기업집단의 감독에 관한 법률,20201229,제17800호,20210630,A0002,법률,23030000,第3章 金融通則
390,265343,1160100,금융위원회,000534,금융산업의 구조개선에 관한 법률,20240920,제20434호,20250131,A0002,법률,23040000,第4章 金融機關·金融業
391,260405,1160100,금융위원회,013704,금융소비자 보호에 관한 법률,20240213,제20305호,20240814,A0002,법률,23040000,第4章 金融機關·金融業
392,270423,1160100,금융위원회,000549,금융실명거래 및 비밀보장에 관한 법률,20250401,제20894호,20250401,A0002,법률,23030000,第3章 金融通則
393,254781,1160100,금융위원회,000552,금융위원회의 설치 등에 관한 법률,20230914,제19700호,20230914,A0002,법률,23030000,第3章 金融通則
394,117424,1160100,금융위원회,010589,금융중심지의 조성과 발전에 관한 법률,20110930,제11069호,20120401,A0002,법률,23090000,第9章 金融支援등
395,254783,1160100,금융위원회,009374,금융지주회사법,20230914,제19700호,20230914,A0002,법률,23040000,第4章 金融機關·金融業
396,258845,1160100,금융위원회,013235,금융혁신지원 특별법,20240116,제20054호,20241017,A0002,법률,23090000,第9章 金融支援등
397,257829,1160100,금융위원회,012338,금융회사의 지배구조에 관한 법률,20240102,제19913호,20240703,A0002,법률,23040000,第4章 金融機關·金融業
398,260239,1741000,행정안전부,010491,급경사지 재해예방에 관한 법률,20240213,제20269호,20240814,A0002,법률,12030000,第3章 災難管理
399,232201,1492000,고용노동부,010356,기간제 및 단시간근로자 보호 등에 관한 법률,20210518,제18177호,20210518,A0002,법률,40050000,第5章 雇 傭
400,219239,1613000,국토교통부,013114,기계설비법,20200609,제17453호,20200609,A0002,법률,35040100,第1節 建設業
401,246625,1543000,농림축산식품부,011007,기능성 양잠산업 육성 및 지원에 관한 법률,20221227,제19109호,20230628,A0002,법률,24050100,第1節 通 則
402,260853,1741000,행정안전부,001021,기부금품의 모집ㆍ사용 및 기부문화 활성화에 관한 법률,20240227,제20369호,20240731,A0002,법률,10020200,第2節 地方行政一般
403,259875,1360000,기상청,010089,기상관측표준화법,20240206,제20226호,20250207,A0002,법률,18040000,第4章 天文·氣象
404,255461,1360000,기상청,000743,기상법,20231024,제19757호,20241025,A0002,법률,18040000,第4章 天文·氣象
405,259877,1360000,기상청,011018,기상산업진흥법,20240206,제20227호,20250207,A0002,법률,18040000,第4章 天文·氣象
406,245003,1421000,중소벤처기업부,000506,기술보증기금법,20221018,제19014호,20230419,A0002,법률,23090000,第9章 金融支援등
407,234749,1721000,과학기술정보통신부,000755,기술사법,20210817,제18425호,20220218,A0002,법률,18020000,第2章 科學技術振興
408,268577,1450000,산업통상자원부,009371,기술의 이전 및 사업화 촉진에 관한 법률,20250121,제20691호,20250121,A0002,법률,28050000,第5章 工 業
409,257389,1160100,금융위원회,014555,기업구조조정 촉진법,20231226,제19852호,20231226,A0002,법률,23040000,第4章 金融機關·金融業
410,224999,1160100,금융위원회,002048,기업구조조정투자회사법,20201229,제17799호,20211230,A0002,법률,23050000,第5章 信託業
411,260385,1613000,국토교통부,009848,기업도시개발 특별법,20240213,제20292호,20240814,A0002,법률,33030300,第3節 都市開發
412,247237,1450000,산업통상자원부,001470,기업활동 규제완화에 관한 특별조치법,20230103,제19163호,20230704,A0002,법률,28020000,第2章 中小企業
413,258731,1450000,산업통상자원부,012502,기업 활력 제고를 위한 특별법,20240116,제20032호,20240717,A0002,법률,28050000,第5章 工 業
414,240025,1721000,과학기술정보통신부,000762,기초연구진흥 및 기술개발지원에 관한 법률,20220203,제18797호,20220804,A0002,법률,18020000,第2章 科學技術振興
415,232643,1352000,보건복지부,012045,기초연금법,20210608,제18213호,20220101,A0002,법률,38060000,第6章 社會保險
416,235575,1342000,교육부,014148,기초학력 보장법,20210924,제18458호,20220325,A0002,법률,16020800,第8節 敎育振興
417,255459,1192000 1360000,"기상청,해양수산부",014515,기후ㆍ기후변화 감시 및 예측 등에 관한 법률,20231024,제19757호,20241025,A0002,법률,18040000,第4章 天文·氣象
418,242875,1721000,과학기술정보통신부,014068,기후변화대응 기술개발 촉진법,20220610,제18865호,20221211,A0002,법률,18040000,第4章 天文·氣象
419,265925,1480000,환경부,014152,기후위기 대응을 위한 탄소중립ㆍ녹색성장 기본법,20241022,제20514호,20241022,A0002,법률,39020000,第2章 環境保全
420,251741,1352000,보건복지부,010111,긴급복지지원법,20230613,제19448호,20231214,A0002,법률,38030000,第3章 生活保護
421,271633,1270000,법무부,014896,김건희와 명태균ㆍ건진법사 관련 국정농단 및 불법 선거 개입 사건 등 진상규명을 위한 특별검사 임명 등에 관한 법률,20250610,제20988호,20250610,A0002,법률,07010200,第2節 檢察廳
422,224663,1192000,해양수산부,013927,김산업의 육성 및 지원에 관한 법률,20201222,제17747호,20211223,A0002,법률,27030000,第3章 水産業
423,246627,1543000,농림축산식품부,011429,김치산업 진흥법,20221227,제19110호,20221227,A0002,법률,24050200,第2節 農水産物價格安定·流通
424,201143,1721000,과학기술정보통신부,009399,나노기술개발 촉진법,20180116,제15344호,20180417,A0002,법률,18020000,第2章 科學技術振興
425,214351,1543000,농림축산식품부,000409,낙농진흥법,20200218,제17007호,20210101,A0002,법률,25020000,第2章 畜産振興
426,265983,1480000,환경부,009282,낙동강수계 물관리 및 주민지원 등에 관한 법률,20241022,제20517호,20250423,A0002,법률,39020000,第2章 環境保全
427,267435,1192000,해양수산부,011350,낚시 관리 및 육성법,20241220,제20597호,20250621,A0002,법률,27060000,第6章 漁港·漁船
428,188376,1270000,법무부,011546,난민법,20161220,제14408호,20161220,A0002,법률,07040000,第4章 國籍·出入國
429,258643,1192000 1262000 1480000,"외교부,해양수산부,환경부",009642,남극활동 및 환경보호에 관한 법률,20240116,제19999호,20240717,A0002,법률,44060000,第6章 國際協力
430,265999,1492000,고용노동부,000130,남녀고용평등과 일ㆍ가정 양립 지원에 관한 법률,20241022,제20521호,20250223,A0002,법률,40030000,第3章 勤勞基準
431,258011,1250000,통일부,010087,남북관계 발전에 관한 법률,20240109,제19945호,20240710,A0002,법률,01020100,第1節 國土·統一
432,258665,1250000,통일부,001434,남북교류협력에 관한 법률,20240116,제20000호,20240417,A0002,법률,01020100,第1節 國土·統一
433,259607,1250000,통일부,010938,남북 이산가족 생사확인 및 교류 촉진에 관한 법률,20240206,제20184호,20240807,A0002,법률,01020100,第1節 國土·統一
434,179505,1270000,법무부,011545,남북 주민 사이의 가족관계와 상속 등에 관한 특례법,20160119,제13763호,20160119,A0002,법률,08010000,第1章 民 法
435,258013,1250000,통일부,001433,남북협력기금법,20240109,제19946호,20240710,A0002,법률,01020100,第1節 國土·統一
436,257871,1192000,해양수산부,013763,내수면 가두리양식어업 면허기간 연장불허에 따른 손실보상에 관한 특별법,20240102,제19905호,20240403,A0002,법률,27020000,第2章 水産振興
437,239391,1192000,해양수산부,000385,내수면어업법,20220111,제18755호,20230112,A0002,법률,27020000,第2章 水産振興
438,236229,1290000 1741000,"국방부,행정안전부",009634,노근리사건 희생자심사 및 명예회복에 관한 특별법,20211019,제18486호,20220420,A0002,법률,08010000,第1章 民 法
439,232203,1492000,고용노동부,000139,노동위원회법,20210518,제18179호,20220519,A0002,법률,40020000,第2章 勞 政
440,228175,1492000,고용노동부,000143,노동조합 및 노동관계조정법,20210105,제17864호,20210706,A0002,법률,40020000,第2章 勞 政
441,180465,1492000,고용노동부,011203,노사관계 발전 지원에 관한 법률,20160127,제13905호,20160127,A0002,법률,40020000,第2章 勞 政
442,224917,1352000,보건복지부,011408,노숙인 등의 복지 및 자립지원에 관한 법률,20201229,제17775호,20210630,A0002,법률,38020000,第2章 社會福祉通則
443,255809,1352000,보건복지부,001777,노인복지법,20231031,제19814호,20241101,A0002,법률,38050000,第5章 兒童·老人·障碍者·母子福祉
444,255807,1352000,보건복지부,014527,노인 일자리 및 사회활동 지원에 관한 법률,20231031,제19814호,20241101,A0002,법률,38050000,第5章 兒童·老人·障碍者·母子福祉
445,267387,1352000,보건복지부,010436,노인장기요양보험법,20241220,제20587호,20250621,A0002,법률,38060000,第6章 社會保險
446,253665,1471000,식품의약품안전처,014127,노인ㆍ장애인 등 사회복지시설의 급식안전 지원에 관한 법률,20230808,제19622호,20240209,A0002,법률,38050000,第5章 兒童·老人·障碍者·母子福祉
447,260453,1450000 1613000,"국토교통부,산업통상자원부",012227,노후거점산업단지의 활력증진 및 경쟁력강화를 위한 특별법,20240220,제20318호,20240821,A0002,법률,28050000,第5章 工 業
448,266693,1613000,국토교통부,014554,노후계획도시 정비 및 지원에 관한 특별법,20241203,제20549호,20250604,A0002,법률,33030300,第3節 都市開發
449,267389,1352000,보건복지부,012318,노후준비 지원법,20241220,제20588호,20241220,A0002,법률,38050000,第5章 兒童·老人·障碍者·母子福祉
450,265985,1613000,국토교통부,011557,녹색건축물 조성 지원법,20241022,제20517호,20250423,A0002,법률,34030000,第3章 建 築
451,142442,1051000,기획재정부,011893,녹색기후기금의 운영지원에 관한 법률,20130730,제11947호,20130730,A0002,법률,19020200,第2節 特別會計·基金
452,235619,1480000,환경부,014098,녹색융합클러스터의 조성 및 육성에 관한 법률,20210924,제18469호,20220325,A0002,법률,39020000,第2章 環境保全
453,235589,1480000,환경부,009845,녹색제품 구매촉진에 관한 법률,20210924,제18469호,20220325,A0002,법률,39020000,第2章 環境保全
454,251935,1192000 1543000,"농림축산식품부,해양수산부",011141,농림수산식품투자조합 결성 및 운용에 관한 법률,20230620,제19504호,20231221,A0002,법률,24050100,第1節 通 則
455,238893,1160100,금융위원회,000426,농림수산업자 신용보증법,20220104,제18712호,20220104,A0002,법률,23090000,第9章 金融支援등
456,231609,1543000,농림축산식품부,010957,농림식품과학기술 육성법,20210420,제18075호,20211021,A0002,법률,24050100,第1節 通 則
457,259073,1192000 1543000,"농림축산식품부,해양수산부",000433,농수산물 유통 및 가격안정에 관한 법률,20240123,제20080호,20240724,A0002,법률,24050200,第2節 農水産物價格安定·流通
458,237105,1192000 1543000,"농림축산식품부,해양수산부",011154,농수산물의 원산지 표시 등에 관한 법률,20211130,제18525호,20220101,A0002,법률,24050600,第6節 農産物·農業資材檢査
459,265291,1192000 1471000 1543000,"농림축산식품부,식품의약품안전처,해양수산부",001978,농수산물 품질관리법,20240920,제20438호,20240920,A0002,법률,24050600,第6節 農産物·農業資材檢査
460,223591,1192000 1543000,"농림축산식품부,해양수산부",011565,농수산자조금의 조성 및 운용에 관한 법률,20201208,제17618호,20201208,A0002,법률,24050200,第2節 農水産物價格安定·流通
461,255439,1390000 1543000,"농림축산식품부,농촌진흥청",001514,농약관리법,20231024,제19746호,20240425,A0002,법률,24050501,第1款 肥料·農藥
462,248925,1160100,금융위원회,000502,농어가목돈마련저축에 관한 법률,20230321,제19258호,20230922,A0002,법률,23100000,第10章 貯蓄奬勵
463,265345,1192000 1543000,"농림축산식품부,해양수산부",010958,농어업경영체 육성 및 지원에 관한 법률,20240920,제20434호,20250131,A0002,법률,24050100,第1節 通 則
464,248135,1192000 1543000,"농림축산식품부,해양수산부",014397,농어업고용인력 지원 특별법,20230214,제19224호,20240215,A0002,법률,24050100,第1節 通 則
465,255441,1192000 1543000,"농림축산식품부,해양수산부",013218,농어업ㆍ농어촌특별위원회 설치 및 운영에 관한 법률,20231024,제19747호,20231024,A0002,법률,24010100,第1節 農林畜産食品部
466,223521,1192000 1543000,"농림축산식품부,해양수산부",009175,농어업인 부채경감에 관한 특별조치법,20201208,제17594호,20201208,A0002,법률,24050300,第3節 農業協同組合·農業金融
467,267315,1192000 1543000,"농림축산식품부,해양수산부",009633,농어업인 삶의 질 향상 및 농어촌지역 개발촉진에 관한 특별법,20241220,제20579호,20241220,A0002,법률,24050100,第1節 通 則
468,255855,1192000 1543000,"농림축산식품부,해양수산부",012228,농어업인의 안전보험 및 안전재해예방에 관한 법률,20231031,제19807호,20240501,A0002,법률,24050700,第7節 農漁業災害對策
469,270777,1192000 1543000,"농림축산식품부,해양수산부",000446,농어업재해대책법,20250422,제20924호,20250422,A0002,법률,24050700,第7節 農漁業災害對策
470,260253,1192000 1543000,"농림축산식품부,해양수산부",009181,농어업재해보험법,20240213,제20275호,20240514,A0002,법률,24050700,第7節 農漁業災害對策
471,251597,1543000,농림축산식품부,000448,농어촌구조개선 특별회계법,20230609,제19430호,20230710,A0002,법률,24050100,第1節 通 則
472,246687,1741000,행정안전부,000996,농어촌도로 정비법,20221227,제19117호,20230628,A0002,법률,10060000,第6章 地域開發
473,265327,1352000,보건복지부,001786,농어촌 등 보건의료를 위한 특별조치법,20240920,제20449호,20250321,A0002,법률,36030000,第3章 醫事·血液管理
474,248139,1192000 1543000,"농림축산식품부,해양수산부",011872,농어촌마을 주거환경 개선 및 리모델링 촉진을 위한 특별법,20230214,제19225호,20240215,A0002,법률,24050100,第1節 通 則
475,136944,1450000,산업통상자원부,001853,농어촌 전기공급사업 촉진법,20130323,제11690호,20130323,A0002,법률,32020000,第2章 電 氣
476,267319,1192000 1543000,"농림축산식품부,해양수산부",000478,농어촌정비법,20241220,제20581호,20250621,A0002,법률,24020000,第2章 農 地
477,205626,1352000,보건복지부,009624,농어촌주민의 보건복지 증진을 위한 특별법,20181211,제15882호,20190312,A0002,법률,38020000,第2章 社會福祉通則
478,267585,1051000,기획재정부,001569,농어촌특별세법,20241231,제20615호,20250101,A0002,법률,20040000,第4章 間接稅
479,251913,1390000,농촌진흥청,014458,농업과학기술정보서비스의 제공 및 이용 활성화에 관한 법률,20230620,제19484호,20240621,A0002,법률,24050100,第1節 通 則
480,251915,1543000,농림축산식품부,000454,농업기계화 촉진법,20230620,제19485호,20240621,A0002,법률,24050100,第1節 通 則
481,265905,1543000,농림축산식품부,011531,농업ㆍ농촌 공익기능 증진 직접지불제도 운영에 관한 법률,20241022,제20502호,20250423,A0002,법률,24050100,第1節 通 則
482,265871,1543000,농림축산식품부,001979,농업ㆍ농촌 및 식품산업 기본법,20241022,제20503호,20250423,A0002,법률,24050100,第1節 通 則
483,210266,1543000,농림축산식품부,010499,농업생명자원의 보존ㆍ관리 및 이용에 관한 법률,20190827,제16543호,20200228,A0002,법률,24050400,第4節 種子·種苗改良
484,252845,1543000,농림축산식품부,011020,농업생산기반시설 및 주변지역 활용에 관한 특별법,20230725,제19571호,20230725,A0002,법률,24020000,第2章 農 地
485,252847,1543000,농림축산식품부,011021,농업인등의 농외소득 활동 지원에 관한 법률,20230725,제19571호,20230725,A0002,법률,24050100,第1節 通 則
486,265347,1543000,농림축산식품부,001519,농업협동조합법,20240920,제20434호,20250131,A0002,법률,24050300,第3節 農業協同組合·農業金融
487,265349,1543000,농림축산식품부,009251,농업협동조합의 구조개선에 관한 법률,20240920,제20434호,20250131,A0002,법률,24050300,第3節 農業協同組合·農業金融
488,259079,1543000,농림축산식품부,000479,농지법,20240123,제20083호,20250124,A0002,법률,24020000,第2章 農 地
489,251599,1543000,농림축산식품부,014414,농촌공간 재구조화 및 재생지원에 관한 법률,20230609,제19430호,20240329,A0002,법률,24050100,第1節 通 則
490,259081,1543000,농림축산식품부,012069,농촌융복합산업 육성 및 지원에 관한 법률,20240123,제20084호,20240724,A0002,법률,24050100,第1節 通 則
491,254045,1543000,농림축산식품부,014493,농촌 지역 공동체 기반 경제ㆍ사회 서비스 활성화에 관한 법률,20230816,제19640호,20240817,A0002,법률,24050100,第1節 通 則
492,257833,1390000,농촌진흥청,000463,농촌진흥법,20240102,제19878호,20240703,A0002,법률,26010000,第1章 行政組織·通則
493,260179,1721000,과학기술정보통신부,000753,뇌연구 촉진법,20240213,제20253호,20240814,A0002,법률,18020000,第2章 科學技術振興
494,253549,1371000,문화체육관광부,009529,뉴스통신 진흥에 관한 법률,20230808,제19592호,20230808,A0002,법률,17040100,第1節 言論·出版
495,218017,1383000,여성가족부,010718,다문화가족지원법,20200519,제17281호,20200519,A0002,법률,38050000,第5章 兒童·老人·障碍者·母子福祉
496,247231,1661000,소방청,010235,다중이용업소의 안전관리에 관한 특별법,20230103,제19157호,20240104,A0002,법률,12020300,第3節 消 防
497,260387,1613000,국토교통부,014621,달빛철도 건설을 위한 특별법,20240213,제20293호,20240814,A0002,법률,41030100,第1節 鐵道運送
498,216129,1051000,기획재정부,000583,담배사업법,20200331,제17142호,20200701,A0002,법률,22020000,第2章 담 배
499,231757,1160100,금융위원회,000531,담보부사채신탁법,20210420,제18120호,20210721,A0002,법률,23050000,第5章 信託業
500,265801,1721000,과학기술정보통신부,009580,대구경북과학기술원법,20241022,제20472호,20241022,A0002,법률,18020000,第2章 科學技術振興
501,268705,1290000 1613000,"국방부,국토교통부",014430,대구경북통합신공항 건설을 위한 특별법,20250131,제20737호,20250501,A0002,법률,41080000,第8章 航 空
502,268287,1130000,공정거래위원회,011491,대규모유통업에서의 거래 공정화에 관한 법률,20250121,제20712호,20250121,A0002,법률,19090100,第1節 物價·公正去來·消費者保護
503,265927,1480000,환경부,013458,대기관리권역의 대기환경개선에 관한 특별법,20241022,제20515호,20250423,A0002,법률,39020000,第2章 環境保全
504,270221,1480000,환경부,001773,대기환경보전법,20250325,제20852호,20250325,A0002,법률,39020000,第2章 環境保全
505,258819,1613000,국토교통부,000106,대도시권 광역교통 관리에 관한 특별법,20240116,제20040호,20240417,A0002,법률,41020000,第2章 交通安全·交通整備
506,268289,1130000,공정거래위원회,012417,대리점거래의 공정화에 관한 법률,20250121,제20712호,20250121,A0002,법률,19090100,第1節 物價·公正去來·消費者保護
507,254787,1160100,금융위원회,009348,대부업 등의 등록 및 금융이용자 보호에 관한 법률,20230914,제19700호,20230914,A0002,법률,23030000,第3章 金融通則
508,228475,1342000,교육부,013984,대안교육기관에 관한 법률,20210112,제17887호,20220113,A0002,법률,16020100,第1節 通 則
509,180327,1051000,기획재정부,000709,대외경제협력기금법,20160127,제13816호,20160301,A0002,법률,19020200,第2節 特別會計·基金
510,260575,1450000,산업통상자원부,001467,대외무역법,20240220,제20319호,20240821,A0002,법률,28040000,第4章 貿 易
511,204775,1741000,행정안전부,011169,대일항쟁기 강제동원 피해조사 및 국외강제동원 희생자 등 지원에 관한 특별법,20181016,제15796호,20190117,A0002,법률,08010000,第1章 民 法
512,258113,1192000 1613000,"국토교통부,해양수산부",009885,대중교통의 육성 및 이용촉진에 관한 법률,20240109,제19972호,20240710,A0002,법률,41020000,第2章 交通安全·交通整備
513,265855,1371000,문화체육관광부,011999,대중문화예술산업발전법,20241022,제20492호,20250423,A0002,법률,17020000,第2章 文化·藝術
514,271305,1421000,중소벤처기업부,010165,대ㆍ중소기업 상생협력 촉진에 관한 법률,20250527,제20982호,20250527,A0002,법률,28020000,第2章 中小企業
515,255771,1290000 1300000,"국방부,병무청",013642,대체역의 편입 및 복무 등에 관한 법률,20231031,제19789호,20240201,A0002,법률,13020101,第1款 通 則
516,223449,1741000,행정안전부,010435,대통령기록물 관리에 관한 법률,20201208,제17573호,20210309,A0002,법률,04030100,第1節 文 書
517,266713,1021100,대통령경호처,001377,대통령 등의 경호에 관한 법률,20241203,제20559호,20250604,A0002,법률,04010200,第2節 大統領所屬機關
518,195072,1741000,행정안전부,009426,대통령직 인수에 관한 법률,20170726,제14839호,20170726,A0002,법률,04010200,第2節 大統領所屬機關
519,208425,1342000,교육부,010007,대학교원 기간임용제 탈락자 구제를 위한 특별법,20190423,제16331호,20190423,A0002,법률,16020501,第1款 敎育公務員
520,237375,1342000,교육부,012264,대학도서관진흥법,20211207,제18547호,20221208,A0002,법률,16020800,第8節 敎育振興
521,180744,1352000,보건복지부,011362,대한노인회 지원에 관한 법률,20160203,제13991호,20160804,A0002,법률,38050000,第5章 兒童·老人·障碍者·母子福祉
522,213855,1450000,산업통상자원부,000370,대한무역투자진흥공사법,20200204,제16929호,20210205,A0002,법률,28040000,第4章 貿 易
523,267531,1051000,기획재정부,000593,대한민국과 아메리카합중국 간의 상호방위조약 제4조에 의한 시설과 구역 및 대한민국에서의 합중국군대의 지위에 관한 협정의 실시에 따른 관세법 등의 임시특례에 관한 법률,20241231,제20609호,20250101,A0002,법률,21020000,第2章 關 稅
524,114769,1290000,국방부,000929,대한민국과 아메리카합중국 간의 상호방위조약 제4조에 의한 시설과 구역 및 대한민국에서의 합중국 군대의 지위에 관한 협정의 시행에 따른 국가 및 지방자치단체의 재산의 관리와 처분에 관한 법률,20110714,제10825호,20110714,A0002,법률,13040000,第4章 軍需·財務
525,112382,1270000,법무부,001116,대한민국과 아메리카합중국 간의 상호방위조약 제4조에 의한 시설과 구역 및 대한민국에서의 합중국 군대의 지위에 관한 협정의 시행에 관한 형사특별법,20110414,제10583호,20110414,A0002,법률,09030000,第3章 刑事節次
526,91501,1270000,법무부,001241,대한민국과 아메리카합중국 간의 상호방위조약 제4조에 의한 시설과 구역 및 대한민국에서의 합중국 군대의 지위에 관한 협정의 시행에 관한 민사특별법,20090130,제9360호,20090130,A0002,법률,08010000,第1章 民 法
527,150692,1741000,행정안전부,010381,대한민국국기법,20140128,제12342호,20140128,A0002,법률,01020200,第2節 國號·國旗·年號등
528,253553,1371000,문화체육관광부,000854,대한민국예술원법,20230808,제19592호,20230808,A0002,법률,16040000,第4章 學·藝術振興
529,216173,1262000,외교부,000014,대한민국 재외공관 설치법,20200331,제17160호,20200331,A0002,법률,44010000,第1章 行政組織·通則
530,216199,1320000,경찰청,000988,대한민국재향경우회법,20200331,제17167호,20200701,A0002,법률,11030100,第1節 通 則
531,142443,1270000,법무부,011894,대한민국재향교정동우회법,20130730,제11952호,20130730,A0002,법률,07010100,第1節 法務部
532,252489,1830000,국가보훈부,000906,대한민국재향군인회법,20230711,제19524호,20240112,A0002,법률,15020000,第2章 國家報勳
533,195268,1661000,소방청,011575,대한민국재향소방동우회법,20170726,제14839호,20170726,A0002,법률,12020200,第2節 消防公務員
534,215653,1342000,교육부,000855,대한민국학술원법,20200324,제17077호,20200925,A0002,법률,16040000,第4章 學·藝術振興
535,203812,9700000,국회,001406,대한민국헌정회 육성법,20180612,제15712호,20180612,A0002,법률,02010000,第1章 國會·國會議員
536,212211,1450000,산업통상자원부,001868,대한석탄공사법,20191210,제16795호,20191210,A0002,법률,31030200,第2節 石 炭
537,202889,1661000,소방청,000955,대한소방공제회법,20180327,제15531호,20180928,A0002,법률,12020200,第2節 消防公務員
538,265915,1352000,보건복지부,000207,대한적십자사 조직법,20241022,제20511호,20241022,A0002,법률,38010000,第1章 行政組織·通則
539,257199,1741000,행정안전부,001106,대한지방행정공제회법,20231226,제19833호,20231226,A0002,법률,10010000,第1章 行政組織·通則
540,270205,1480000,환경부,001981,댐건설ㆍ관리 및 주변지역지원 등에 관한 법률,20250325,제20853호,20250325,A0002,법률,35020200,第2節 水資源開發
541,259539,1480000,환경부,013138,댐 주변지역 친환경 보전 및 활용에 관한 특별법,20240130,제20172호,20240130,A0002,법률,35020200,第2節 水資源開發
542,251025,1741000,행정안전부,013792,데이터기반행정 활성화에 관한 법률,20230516,제19408호,20231117,A0002,법률,04020000,第2章 行政作用一般
543,236051,1721000,과학기술정보통신부,014168,데이터 산업진흥 및 이용촉진에 관한 기본법,20211019,제18475호,20220420,A0002,법률,18020000,第2章 科學技術振興
544,266639,1320000,경찰청,001638,도로교통법,20241203,제20544호,20250604,A0002,법률,11060000,第6章 交 通
545,260613,1741000,행정안전부,010300,도로명주소법,20240220,제20341호,20250221,A0002,법률,10040300,第3節 地籍등
546,260417,1613000,국토교통부,001821,도로법,20240213,제20294호,20250214,A0002,법률,34040100,第1節 通 則
547,253555,1371000,문화체육관광부,000830,도서관법,20230808,제19592호,20230808,A0002,법률,17040100,第1節 言論·出版
548,137358,1342000,교육부,000868,도서ㆍ벽지 교육진흥법,20130323,제11690호,20130323,A0002,법률,16020800,第8節 敎育振興
549,257781,1192000,해양수산부,000054,도선법,20231229,제19867호,20240630,A0002,법률,42060000,第6章 海上保安
550,265337,1450000,산업통상자원부,001851,도시가스사업법,20240920,제20440호,20250321,A0002,법률,32030000,第3章 가 스
551,252729,1613000,국토교통부,002024,도시개발법,20230718,제19561호,20231019,A0002,법률,33030300,第3節 都市開發
552,266695,1613000,국토교통부,013970,도시 공업지역의 관리 및 활성화에 관한 특별법,20241203,제20549호,20250604,A0002,법률,33030100,第1節 都市計劃
553,260467,1613000,국토교통부,001813,도시공원 및 녹지 등에 관한 법률,20240213,제20309호,20240517,A0002,법률,33030200,第2節 都市計劃施設
554,258115,1613000,국토교통부,001754,도시교통정비 촉진법,20240109,제19974호,20250110,A0002,법률,41020000,第2章 交通安全·交通整備
555,267321,1543000,농림축산식품부,011494,도시농업의 육성 및 지원에 관한 법률,20241220,제20581호,20250621,A0002,법률,24050100,第1節 通 則
556,271121,1613000,국토교통부,009410,도시 및 주거환경정비법,20250520,제20955호,20250604,A0002,법률,33030300,第3節 都市開發
557,267323,1400000,산림청,013794,도시숲 등의 조성 및 관리에 관한 법률,20241220,제20581호,20250621,A0002,법률,24050100,第1節 通 則
